model,roc_auc,avg_precision,fraud_precision,fraud_recall,fraud_f1
xgboost_model,0.9808151293840681,0.8258544734853102,0.9859154929577465,0.7368421052631579,0.8433734939759036
random_forest,0.9335404494183687,,0.8068181818181818,0.7473684210526316,0.7759562841530054
baseline_logreg,0.9656627048902374,0.6738331777238141,0.8548387096774194,0.5578947368421052,0.6751592356687898
